text,label,threat_type
"انا من بنك التنمية ارسلي رقم ال otp",1,otp_request
"ارسل لي رقم التحقق اللي وصلك",1,otp_request
"احتاج رمز OTP عشان افعل حسابك",1,otp_request
"وصلك رمز؟ ارسله لي بسرعة",1,otp_request
"انا مديرك ابغى رقمك السري",1,boss_fraud
"هذا المدير التنفيذي ارسل لي كلمة المرور",1,boss_fraud
"مديرك محتاج بيانات حسابك ضروري",1,boss_fraud
"انا المدير الجديد ابغى تحول 5000 فوراً",1,boss_fraud
"ارسلي رقم بطاقتك الائتمانية",1,card_request
"احتاج رقم CVV عشان اتأكد",1,card_request
"اعطني رقم البطاقة والرقم السري",1,card_request
"تم إيقاف بطاقتك البنكية حدث بياناتك فوراً عبر الرابط: bank-update.xyz",1,bank_impersonation
"مبروك ربحت 50000 ريال من البنك الأهلي ارسل رقم بطاقتك",1,fake_prize
"أنا خويك من المدرسة محتاج 1000 ريال ضروري وأرجعها لك بكرة والله",1,social_engineering
"تم تجميد حسابك البنكي اضغط هنا للتحديث: secure-bank.xyz",1,bank_impersonation
"فزت بجائزة سيارة مرسيدس أرسل 500 ريال رسوم الشحن",1,fake_prize
"السلام عليكم أخوي أنا قريبك محمد محتاج مبلغ عاجل",1,social_engineering
"حسابك سيُغلق خلال 24 ساعة إذا لم تحدث بياناتك",1,bank_impersonation
"مبروك تم اختيارك للفوز بمليون ريال أرسل رقم هويتك",1,fake_prize
"أنا صاحبك من العمل ممكن سلفة 2000 ريال؟",1,social_engineering
"تنبيه أمني تم الدخول على حسابك من جهاز غريب حدث كلمة المرور: bit.ly/bank",1,phishing
"Your account has been suspended Click here to verify: paypa1-secure.xyz",1,phishing
"Congratulations You won 50000 dollars Send your bank details",1,fake_prize
"URGENT Your card will be blocked Update now: bank-verify.top",1,bank_impersonation
"Hey friend Im stuck abroad and need 500 dollars urgently Wire transfer please",1,social_engineering
"Your package is held at customs Pay 50 dollars to release: delivery-pay.xyz",1,delivery_scam
"تحذير بطاقتك الائتمانية مخترقة أدخل بياناتك للحماية",1,bank_impersonation
"أنا المدير التنفيذي حول 50000 ريال فوراً لإتمام صفقة سرية",1,boss_fraud
"فاتورة مستحقة تم تغيير حسابنا البنكي حول على الحساب الجديد",1,invoice_fraud
"رقم جوالك فاز بسحب stc أرسل رقم بطاقتك لاستلام الجائزة",1,fake_prize
"تم رصد محاولة اختراق اضغط هنا لتأمين حسابك: secure-login.click",1,phishing
"عاجل جداً حسابك مهدد أدخل رقم البطاقة والـ CVV الآن",1,bank_impersonation
"تهانينا أنت الفائز رقم 1000 اتصل الآن لاستلام مليون دولار",1,fake_prize
"أخوي الغالي والله محتاجك ضروري حول لي 3000 وبرجعها",1,social_engineering
"Account locked Verify identity immediately: microsoft-verify.xyz",1,phishing
"You inherited 5 million from a Nigerian prince Send processing fee",1,nigerian_scam
"أنا من البنك المركزي حسابك فيه مشكلة أرسل بياناتك",1,bank_impersonation
"الدعم الفني جهازك مخترق اتصل الآن: 0599999999",1,tech_support_scam
"وظيفة من المنزل براتب 10000 ريال سجل الآن: jobs-easy.top",1,job_scam
"رسالة من الجمارك طردك محجوز ادفع 200 ريال: customs-pay.xyz",1,delivery_scam
"استثمر 1000 ريال واحصل على 10000 فرصة محدودة",1,investment_scam
"Dear valued customer your account needs verification Click: bank-secure.loan",1,phishing
"I am a military officer need help transferring 2 million You get 30 percent",1,nigerian_scam
"Free iPhone 15 Youre selected Pay 10 dollars shipping: free-phone.click",1,fake_prize
"Your computer has virus Call now for immediate support: 1-800-SCAM",1,tech_support_scam
"Work from home earn 5000 weekly No experience needed: easy-money.top",1,job_scam
"Send me the code that you received",1,otp_request
"I am your boss transfer 10000 immediately",1,boss_fraud
"This is IT support send your password",1,tech_support_scam
"Your bank account is compromised verify here",1,phishing
"انا موظف البنك محتاج رقم الـ PIN حقك",1,bank_impersonation
"وصلتك رسالة من البنك؟ ارسل لي الكود",1,otp_request
"مديرك يحتاج تحويل عاجل لحساب خارجي",1,boss_fraud
"بنك الراجحي يطلب تحديث بياناتك الآن",1,bank_impersonation
"صديقك من الجامعة محتاج مساعدة مالية",1,social_engineering
"رقم OTP اللي وصلك ارسله عشان نفعل حسابك",1,otp_request
